sample_date,facility,target,n.bio,n.bio.non.miss,n.bio.miss,n.total,n.total.miss,bio.ct.mean,bio.ct.sd,tech.ct.dists
2021-02-10,B,N2,3,2,1,9,7,35.46715164,0.91366275531383645,"A = 36.11 (sd=NA, n=1); B = NA (sd=NA, n=0); C = 34.82 (sd=NA, n=1)"
2021-02-10,C,N1,3,1,2,9,8,37.00684738,NA,"A = NA (sd=NA, n=0); B = 37.01 (sd=NA, n=1); C = NA (sd=NA, n=0)"
2021-02-10,C,N2,3,2,1,9,7,35.981445315,0.09935057457958149,"A = 35.91 (sd=NA, n=1); B = 36.05 (sd=NA, n=1); C = NA (sd=NA, n=0)"
2021-02-15,A,N1,3,0,3,9,9,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0); C = NA (sd=NA, n=0)"
2021-02-15,A,N2,3,0,3,9,9,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0); C = NA (sd=NA, n=0)"
2021-02-15,B,N1,3,0,3,9,9,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0); C = NA (sd=NA, n=0)"
2021-02-15,B,N2,3,1,2,9,8,36.9708786,NA,"A = 36.97 (sd=NA, n=1); B = NA (sd=NA, n=0); C = NA (sd=NA, n=0)"
2021-02-15,C,N1,3,2,1,9,7,36.915428165,0.11611760371215851,"A = 36.83 (sd=NA, n=1); B = 37 (sd=NA, n=1); C = NA (sd=NA, n=0)"
2021-02-15,C,N2,3,0,3,9,9,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0); C = NA (sd=NA, n=0)"
2021-02-17,A,N1,3,2,1,9,7,36.75967026,0.20419304953873466,"A = NA (sd=NA, n=0); B = 36.62 (sd=NA, n=1); C = 36.9 (sd=NA, n=1)"
2021-02-17,A,N2,3,1,2,9,8,36.47306442,NA,"A = NA (sd=NA, n=0); B = 36.47 (sd=NA, n=1); C = NA (sd=NA, n=0)"
2021-02-17,B,N1,3,1,2,9,7,36.416524890000005,NA,"A = 36.42 (sd=0.77, n=2); B = NA (sd=NA, n=0); C = NA (sd=NA, n=0)"
