Parameter1,Parameter2,rho,CI,CI_low,CI_high,S,p,Method,n_Obs
copies_B,copies_B_N2,0.9204466741339405,0.95,0.8778540068824456,0.9485937317480276,7580.1591018216095,8.053566639778346e-31,Spearman correlation,83
copies_B,copies_C_N1,0.5242567066423093,0.95,0.3434335702186242,0.6676015862030338,46989.16508493911,0.0019151003932977096,Spearman correlation,84
copies_B,copies_C_N2,0.629328501215812,0.95,0.4724901168903755,0.7475311545950581,34057.66797978998,1.764927891644635e-6,Spearman correlation,82
copies_B,influent_flow_L_A,0.17311742444208472,0.95,-0.04792511725640865,0.37799565737765517,84623.16278259705,1,Spearman correlation,85
copies_B,influent_flow_L_B,0.4033794992778145,0.95,0.20202053177444845,0.5720193417438905,61058.142043908454,0.6486603293984905,Spearman correlation,85
copies_B,influent_flow_L_C,0.30785863484633696,0.95,0.09369069905388956,0.4947949299755388,68362.8026362273,1,Spearman correlation,84
copies_B,influent_tss_mg_l_A,-0.21688737070823486,0.95,-0.41631654268355883,0.0024529747850869613,124536.25351828075,1,Spearman correlation,85
copies_B,influent_tss_mg_l_B,0.15225742873878811,0.95,-0.06927870039690583,0.3594821886711312,86757.97474287242,1,Spearman correlation,85
copies_B,influent_tss_mg_l_C,-0.0480940114242539,0.95,-0.26580362319020495,0.174283210793693,103520.24550837355,1,Spearman correlation,84
copies_B,n.miss_A_N1,-0.3838421359515063,0.95,-0.5562582233189172,-0.1797433380570702,141622.40419327715,1,Spearman correlation,85
copies_B,n.miss_A_N2,-0.4031531449554622,0.95,-0.5736975774187305,-0.1991041390328713,133698.04426393626,0.7827265188240737,Spearman correlation,83
copies_B,n.miss_B_N1,-0.5739857983455147,0.95,-0.7045545043540749,-0.40582794092065666,161081.70660267994,6.37209266110572e-5,Spearman correlation,85
copies_B,n.miss_B_N2,-0.5921760455308683,0.95,-0.7195057477555712,-0.42632921344755725,151708.90232236325,2.5790757704627667e-5,Spearman correlation,83
copies_B,n.miss_C_N1,-0.46521010060414764,0.95,-0.621933342942453,-0.2726534657676638,144718.80163667165,0.04603720909457617,Spearman correlation,84
copies_B,n.miss_C_N2,-0.4781236149297361,0.95,-0.6337037150342612,-0.28536843672798734,135811.47586335908,0.031450531085652204,Spearman correlation,82
copies_B,n_A_N1,-0.2989988403169581,0.95,-0.48634386385334977,-0.08537099285291029,132939.5413180375,1,Spearman correlation,85
copies_B,n_A_N2,-0.2868991724307618,0.95,-0.4783116780179807,-0.06946317416103488,122620.90074589271,1,Spearman correlation,83
copies_B,n_B_N1,-0.2855048568707097,0.95,-0.47499867251258127,-0.0707066306908914,131558.56705214843,1,Spearman correlation,85
copies_B,n_B_N2,-0.2869502697272795,0.95,-0.4783546192949287,-0.06951858658117996,122625.7695006941,1,Spearman correlation,83
copies_B,n_C_N1,-0.3440589097323538,0.95,-0.5247707457009673,-0.13367254343705393,132752.6985142646,1,Spearman correlation,84
copies_B,n_C_N2,-0.3287190157172126,0.95,-0.5142006324011311,-0.11386325630850716,122084.03188311322,1,Spearman correlation,82
copies_B,cases.reported.7dma.100k,0.5654075251061282,0.95,0.3951647764067917,0.6981010937836398,44476.193880638835,1.1614834869559234e-4,Spearman correlation,85
copies_B,cases.100k_A,0.5241602808196908,0.95,0.3445254186475327,0.6667669015039933,48697.43686091285,0.0016401705496617654,Spearman correlation,85
copies_B,cases.100k_B,0.500616255463473,0.95,0.3160815262222444,0.6486523495432932,51106.93241586818,0.006375364033133591,Spearman correlation,85
copies_B,cases.100k_C,0.46714456164947965,0.95,0.2762069731260687,0.6226075554680661,54532.42556079226,0.03703846049503108,Spearman correlation,85
copies_B,cases.7dma.100k_A,0.5415915436048543,0.95,0.36579904364467286,0.6800706651460513,46913.521427479216,5.602781576344451e-4,Spearman correlation,85
copies_B,cases.7dma.100k_B,0.5925258240573097,0.95,0.4290314562567854,0.7184287273011637,41700.907165974924,1.6305787837196615e-5,Spearman correlation,85
copies_B,cases.7dma.100k_C,0.5604545513487009,0.95,0.38902883734503396,0.694365142122235,44983.08121497394,1.630121970787173e-4,Spearman correlation,85
copies_B,p.pos.pcr,0.39179397984628167,0.95,0.18878511987165453,0.5626881130157746,62243.804102531525,1,Spearman correlation,85
copies_B,p.pos.tr_N1,0.6446651886932265,0.95,0.4954632648266711,0.7569169376879951,36364.9645891352,2.096948643330346e-7,Spearman correlation,85
copies_B,p.pos.tr_N2,0.7026887491383289,0.95,0.5696356853761607,0.7998518728356826,28329.00522710347,1.0605075224639527e-9,Spearman correlation,83
copies_B,p.pos.tr_Total,0.6779061360488345,0.95,0.5387473337493793,0.7810548647548434,32963.08603676227,8.119704357005762e-9,Spearman correlation,85
copies_B,p.pos.tr_A_N1,0.32485013511781136,0.95,0.11372535534670829,0.5079035711190741,69094.83717204319,1,Spearman correlation,85
copies_B,p.pos.tr_A_N2,0.45862898584896267,0.95,0.263592170492744,0.6176412300262573,51583.99571236744,0.07149617890172243,Spearman correlation,83
copies_B,p.pos.tr_A_Total,0.4074228196086062,0.95,0.20665703917123388,0.5752656768009008,60644.34864125523,0.5514637695254812,Spearman correlation,85
copies_B,p.pos.tr_B_N1,0.6975061402716978,0.95,0.5646181186094311,0.7951444124424433,30957.22160459445,9.648747431923872e-10,Spearman correlation,85
copies_B,p.pos.tr_B_N2,0.7723164940974684,0.95,0.6642794969678988,0.8487462066281168,21694.595176416824,1.0560519101781497e-13,Spearman correlation,83
copies_B,p.pos.tr_B_Total,0.7801288905600526,0.95,0.6766231260564427,0.8534015263727946,22501.60934008421,1.1856653012570676e-14,Spearman correlation,85
copies_B,p.pos.tr_C_N1,0.44126754486919784,0.95,0.24453502710638056,0.6031066732554525,55186.004593269325,0.14221571087150428,Spearman correlation,84
copies_B,p.pos.tr_C_N2,0.5091080798966183,0.95,0.3225519961550803,0.6575909506071002,45103.64051101881,0.006217078153656424,Spearman correlation,82
copies_B,p.pos.tr_C_Total,0.5157614046890856,0.95,0.3331220220050274,0.6610968573207203,47828.24605885902,0.003138262808107257,Spearman correlation,84
copies_B,p.pos.br_N1,0.6377899229787076,0.95,0.48660229763318014,0.7518859406394623,37068.57928235906,3.91643210245223e-7,Spearman correlation,85
copies_B,p.pos.br_N2,0.7129027554716666,0.95,0.5833020212415908,0.807106034627421,27355.773847637724,3.2669742131160503e-10,Spearman correlation,83
copies_B,n.br_N1,-0.28279909662899266,0.95,-0.47271617221894635,-0.06777732350842804,131281.65954901112,1,Spearman correlation,85
copies_B,n.br_N2,-0.28498110956437667,0.95,-0.47669910911010904,-0.06738410254674734,122438.14004373207,1,Spearman correlation,83
copies_B,p.pos.br_Total,0.6847877618194592,0.95,0.5478008518031676,0.7860137435976529,32258.820455396544,3.921531177867865e-9,Spearman correlation,85
copies_B,n.br_Total,-0.19372966494909977,0.95,-0.39612969682619076,0.02662480856763635,122166.29391089088,1,Spearman correlation,85
copies_B,p.pos.br_A_N1,0.31842129575683764,0.95,0.10664176299656945,0.5025633261735756,69752.76459224524,1,Spearman correlation,85
copies_B,p.pos.br_A_N2,0.4550342898409385,0.95,0.25936000894137234,0.6148235603706653,51926.51272679601,0.08470814932145916,Spearman correlation,83
copies_B,p.pos.br_B_N1,0.6760713660816383,0.95,0.5363389117555651,0.7797305347575644,33150.85639520513,9.817299151144603e-9,Spearman correlation,85
copies_B,p.pos.br_B_N2,0.7641585167176267,0.95,0.6530083984389308,0.8430842727968342,22471.91989307766,3.6623174883363646e-13,Spearman correlation,83
copies_B,p.pos.br_C_N1,0.4347662227991636,0.95,0.23695648976612366,0.5979631914687635,55828.14017412661,0.18982776720005448,Spearman correlation,84
copies_B,p.pos.br_C_N2,0.517440728259729,0.95,0.3326509834623015,0.6639644023200638,44338.028446767836,0.0038965771829565766,Spearman correlation,82
